,success,reward,,,,,0.740294991
140,0.784615385,-1.469838462,,,,,
141,0.676923077,-1.99865,,,,,
142,0.838461538,-1.435715385,,,,,
143,0.776923077,-1.556723077,,,,,
144,0.769230769,-1.499503846,,,,,
145,0.684615385,-1.834338462,,,,,
146,0.792307692,-1.326907692,,,,,
147,0.746153846,-1.34265,,,,,
148,0.869230769,-1.351973077,,,,,
149,0.769230769,-1.480226923,,,,,
150,0.761538462,-1.578473077,,,,,
151,0.823076923,-1.454284615,,,,,
152,0.776923077,-1.420169231,,,,,
153,0.784615385,-1.671519231,,,,,
154,0.715384615,-2.025515385,,,,,
155,0.746153846,-1.587803846,,,,,
156,0.776923077,-1.531003846,,,,,
157,0.8,-1.327434615,,,,,
158,0.784615385,-1.440611538,,,,,
159,0.723076923,-1.590115385,,,,,
160,0.8,-1.560757692,,,,,
161,0.884615385,-1.217307692,,,,,
162,0.761538462,-1.703626923,,,,,
163,0.746153846,-1.61345,,,,,
164,0.8,-1.758469231,,,,,
165,0.753846154,-1.423307692,,,,,
166,0.707692308,-1.614057692,,,,,
167,0.769230769,-1.442515385,,,,,
168,0.830769231,-1.410738462,,,,,
169,0.730769231,-1.489461538,,,,,
170,0.776923077,-1.476523077,,,,,
171,0.769230769,-1.583619231,,,,,
172,0.753846154,-1.703184615,,,,,
173,0.746153846,-1.583165385,,,,,
174,0.784615385,-1.378511538,,,,,
175,0.823076923,-1.291423077,,,,,
176,0.815384615,-1.35325,,,,,
177,0.738461538,-1.699134615,,,,,
178,0.792307692,-1.413588462,,,,,
179,0.815384615,-1.436234615,,,,,
180,0.776923077,-1.597238462,,,,,
181,0.861538462,-1.245388462,,,,,
182,0.738461538,-1.364784615,,,,,
183,0.784615385,-1.436380769,,,,,
184,0.7,-1.745326923,,,,,
185,0.784615385,-1.504792308,,,,,
186,0.707692308,-1.492453846,,,,,
187,0.807692308,-1.401515385,,,,,
188,0.753846154,-1.501207692,,,,,
189,0.807692308,-1.544661538,,,,,
190,0.723076923,-1.639996154,,,,,
191,0.761538462,-1.521638462,,,,,
192,0.876923077,-1.243065385,,,,,
193,0.761538462,-1.595480769,,,,,
194,0.761538462,-1.458773077,,,,,
195,0.692307692,-1.661903846,,,,,
196,0.753846154,-1.669476923,,,,,
197,0.784615385,-1.581080769,,,,,
198,0.753846154,-1.489226923,,,,,
199,0.753846154,-1.717834615,,,,,
200,0.753846154,-1.471369231,,,,,
201,0.823076923,-1.245123077,,,,,
202,0.776923077,-1.420346154,,,,,
203,0.876923077,-1.238846154,,,,,
204,0.823076923,-1.399992308,,,,,
205,0.723076923,-1.590711538,,,,,
206,0.807692308,-1.240303846,,,,,
207,0.761538462,-1.558119231,,,,,
208,0.815384615,-1.412426923,,,,,
209,0.776923077,-1.598996154,,,,,
210,0.8,-1.404126923,,,,,
211,0.876923077,-1.248219231,,,,,
212,0.753846154,-1.371703846,,,,,
213,0.8,-1.422276923,,,,,
214,0.823076923,-1.293923077,,,,,
215,0.807692308,-1.478938462,,,,,
216,0.761538462,-1.463165385,,,,,
217,0.823076923,-1.311534615,,,,,
218,0.784615385,-1.539776923,,,,,
219,0.730769231,-1.507511538,,,,,
220,0.753846154,-1.609980769,,,,,
221,0.738461538,-1.603396154,,,,,
222,0.815384615,-1.224565385,,,,,
223,0.853846154,-1.413230769,,,,,
224,0.715384615,-1.801338462,,,,,
225,0.753846154,-1.736546154,,,,,
226,0.784615385,-1.557788462,,,,,
227,0.738461538,-1.625980769,,,,,
228,0.769230769,-1.582553846,,,,,
229,0.815384615,-1.3323,,,,,
230,0.807692308,-1.279615385,,,,,
231,0.761538462,-1.685615385,,,,,
232,0.823076923,-1.272361538,,,,,
233,0.792307692,-1.438446154,,,,,
234,0.707692308,-1.640888462,,,,,
235,0.830769231,-1.356069231,,,,,
236,0.815384615,-1.261426923,,,,,
237,0.769230769,-1.383792308,,,,,
238,0.707692308,-1.819392308,,,,,
239,0.807692308,-1.340907692,,,,,
240,0.792307692,-1.678511538,,,,,
241,0.776923077,-1.532107692,,,,,
242,0.815384615,-1.302069231,,,,,
243,0.723076923,-1.703226923,,,,,
244,0.815384615,-1.391811538,,,,,
245,0.792307692,-1.695111538,,,,,
246,0.707692308,-1.606930769,,,,,
247,0.838461538,-1.276196154,,,,,
248,0.692307692,-1.974980769,,,,,
249,0.8,-1.338961538,,,,,
250,0.769230769,-1.414696154,,,,,
251,0.776923077,-1.335115385,,,,,
252,0.807692308,-1.26025,,,,,
253,0.730769231,-1.555061538,,,,,
254,0.776923077,-1.502596154,,,,,
255,0.761538462,-1.597938462,,,,,
256,0.792307692,-1.42825,,,,,
257,0.807692308,-1.462396154,,,,,
258,0.776923077,-1.5471,,,,,
259,0.830769231,-1.220188462,,,,,
260,0.8,-1.307676923,,,,,
261,0.730769231,-1.466276923,,,,,
262,0.807692308,-1.362607692,,,,,
263,0.784615385,-1.43915,,,,,
264,0.730769231,-1.636165385,,,,,
265,0.8,-1.433626923,,,,,
266,0.792307692,-1.459626923,,,,,
267,0.746153846,-1.636926923,,,,,
268,0.792307692,-1.526811538,,,,,
269,0.846153846,-1.286865385,,,,,
270,0.830769231,-1.384811538,,,,,
271,0.8,-1.408080769,,,,,
272,0.776923077,-1.324792308,,,,,
273,0.746153846,-1.611111538,,,,,
274,0.784615385,-1.728873077,,,,,
275,0.830769231,-1.320753846,,,,,
276,0.769230769,-1.47995,,,,,
277,0.753846154,-1.485430769,,,,,
278,0.784615385,-1.579253846,,,,,
279,0.723076923,-1.590776923,,,,,
280,0.8,-1.315088462,,,,,
281,0.830769231,-1.299188462,,,,,
282,0.769230769,-1.549811538,,,,,
283,0.8,-1.300803846,,,,,
284,0.776923077,-1.600188462,,,,,
285,0.815384615,-1.574396154,,,,,
286,0.815384615,-1.328211538,,,,,
287,0.792307692,-1.377742308,,,,,
288,0.792307692,-1.333938462,,,,,
289,0.815384615,-1.314734615,,,,,
290,0.746153846,-1.549726923,,,,,
291,0.807692308,-1.628226923,,,,,
292,0.715384615,-1.567369231,,,,,
293,0.723076923,-1.532907692,,,,,
294,0.815384615,-1.468396154,,,,,
295,0.784615385,-1.486065385,,,,,
296,0.838461538,-1.241311538,,,,,
297,0.830769231,-1.450557692,,,,,
298,0.815384615,-1.547892308,,,,,
299,0.830769231,-1.436103846,,,,,
300,0.8,-1.496657692,,,,,
301,0.853846154,-1.190988462,,,,,
302,0.807692308,-1.391096154,,,,,
303,0.830769231,-1.314980769,,,,,
304,0.823076923,-1.416657692,,,,,
305,0.8,-1.359361538,,,,,
306,0.784615385,-1.450911538,,,,,
307,0.807692308,-1.457492308,,,,,
308,0.861538462,-1.230861538,,,,,
309,0.807692308,-1.571815385,,,,,
310,0.7,-1.713846154,,,,,
311,0.846153846,-1.341107692,,,,,
312,0.723076923,-1.542553846,,,,,
313,0.776923077,-1.499230769,,,,,
314,0.769230769,-1.570026923,,,,,
315,0.815384615,-1.393065385,,,,,
316,0.853846154,-1.32825,,,,,
317,0.830769231,-1.223888462,,,,,
318,0.838461538,-1.285488462,,,,,
319,0.738461538,-1.966119231,,,,,
320,0.776923077,-1.53175,,,,,
321,0.792307692,-1.435746154,,,,,
322,0.830769231,-1.352157692,,,,,
323,0.776923077,-1.311757692,,,,,
324,0.869230769,-1.240373077,,,,,
325,0.846153846,-1.265184615,,,,,
326,0.761538462,-1.405996154,,,,,
327,0.815384615,-1.481138462,,,,,
328,0.776923077,-1.479292308,,,,,
329,0.7,-1.728665385,,,,,
330,0.823076923,-1.324888462,,,,,
331,0.769230769,-1.556480769,,,,,
332,0.730769231,-1.52285,,,,,
333,0.830769231,-1.330276923,,,,,
334,0.846153846,-1.422173077,,,,,
335,0.8,-1.358876923,,,,,
336,0.815384615,-1.327261538,,,,,
337,0.784615385,-1.540957692,,,,,
338,0.830769231,-1.329911538,,,,,
339,0.715384615,-1.443388462,,,,,
340,0.761538462,-1.419715385,,,,,
341,0.769230769,-1.546092308,,,,,
342,0.838461538,-1.282442308,,,,,
343,0.838461538,-1.230503846,,,,,
344,0.815384615,-1.314569231,,,,,
345,0.746153846,-1.710934615,,,,,
346,0.8,-1.452661538,,,,,
347,0.846153846,-1.319707692,,,,,
348,0.838461538,-1.265146154,,,,,
349,0.830769231,-1.464084615,,,,,
350,0.761538462,-1.444742308,,,,,
351,0.830769231,-1.321953846,,,,,
352,0.823076923,-1.393376923,,,,,
353,0.815384615,-1.535569231,,,,,
354,0.838461538,-1.26015,,,,,
355,0.815384615,-1.629607692,,,,,
356,0.784615385,-1.422038462,,,,,
357,0.792307692,-1.4643,,,,,
358,0.823076923,-1.273438462,,,,,
359,0.830769231,-1.23555,,,,,
360,0.776923077,-1.45755,,,,,
361,0.823076923,-1.342580769,,,,,
362,0.838461538,-1.2781,,,,,
363,0.753846154,-1.606776923,,,,,
364,0.761538462,-1.592173077,,,,,
365,0.838461538,-1.304265385,,,,,
366,0.792307692,-1.369111538,,,,,
367,0.815384615,-1.276680769,,,,,
368,0.784615385,-1.310176923,,,,,
369,0.769230769,-1.488365385,,,,,
370,0.769230769,-1.300738462,,,,,
371,0.815384615,-1.322276923,,,,,
372,0.784615385,-1.455711538,,,,,
373,0.746153846,-1.53515,,,,,
374,0.830769231,-1.315746154,,,,,
375,0.846153846,-1.348515385,,,,,
376,0.823076923,-1.42435,,,,,
377,0.761538462,-1.559080769,,,,,
378,0.830769231,-1.3603,,,,,
379,0.761538462,-1.537234615,,,,,
380,0.753846154,-1.435276923,,,,,
381,0.807692308,-1.56905,,,,,
382,0.776923077,-1.399011538,,,,,
383,0.830769231,-1.3358,,,,,
384,0.792307692,-1.619896154,,,,,
385,0.738461538,-1.957976923,,,,,
386,0.723076923,-1.64805,,,,,
387,0.784615385,-1.471907692,,,,,
388,0.784615385,-1.327688462,,,,,
389,0.807692308,-1.246211538,,,,,
390,0.776923077,-1.461934615,,,,,
391,0.738461538,-1.433296154,,,,,
392,0.807692308,-1.431826923,,,,,
393,0.761538462,-1.612865385,,,,,
394,0.838461538,-1.559884615,,,,,
395,0.792307692,-1.457923077,,,,,
396,0.8,-1.442726923,,,,,
397,0.846153846,-1.205230769,,,,,
398,0.792307692,-1.724646154,,,,,
399,0.815384615,-1.356623077,,,,,
400,0.792307692,-1.332896154,,,,,
401,0.807692308,-1.319376923,,,,,
402,0.815384615,-1.334,,,,,
403,0.792307692,-1.439146154,,,,,
404,0.784615385,-1.404042308,,,,,
405,0.830769231,-1.499603846,,,,,
406,0.8,-1.284553846,,,,,
407,0.776923077,-1.308676923,,,,,
408,0.8,-1.289357692,,,,,
409,0.815384615,-1.319442308,,,,,
410,0.830769231,-1.157973077,,,,,
411,0.838461538,-1.331384615,,,,,
412,0.753846154,-1.394280769,,,,,
413,0.876923077,-1.092830769,,,,,
414,0.838461538,-1.21315,,,,,
415,0.876923077,-1.192365385,,,,,
416,0.8,-1.410734615,,,,,
417,0.776923077,-1.409346154,,,,,
418,0.815384615,-1.317853846,,,,,
419,0.807692308,-1.357896154,,,,,
420,0.784615385,-1.476692308,,,,,
421,0.8,-1.367673077,,,,,
422,0.776923077,-1.549580769,,,,,
423,0.815384615,-1.68925,,,,,
424,0.846153846,-1.249930769,,,,,
425,0.792307692,-1.370180769,,,,,
426,0.846153846,-1.235511538,,,,,
427,0.830769231,-1.300661538,,,,,
428,0.784615385,-1.644888462,,,,,
429,0.815384615,-1.33205,,,,,
430,0.807692308,-1.341103846,,,,,
431,0.861538462,-1.203553846,,,,,
432,0.838461538,-1.238276923,,,,,
433,0.830769231,-1.211796154,,,,,
434,0.807692308,-1.423119231,,,,,
435,0.8,-1.434926923,,,,,
436,0.876923077,-1.163957692,,,,,
437,0.769230769,-1.351023077,,,,,
438,0.838461538,-1.394757692,,,,,
439,0.769230769,-1.476157692,,,,,
440,0.830769231,-1.424769231,,,,,
441,0.8,-1.295030769,,,,,
442,0.784615385,-1.377353846,,,,,
443,0.792307692,-1.428203846,,,,,
444,0.823076923,-1.396134615,,,,,
445,0.830769231,-1.208565385,,,,,
446,0.776923077,-1.383403846,,,,,
447,0.792307692,-1.428561538,,,,,
448,0.753846154,-1.718996154,,,,,
449,0.792307692,-1.389334615,,,,,
450,0.853846154,-1.21275,,,,,
451,0.784615385,-1.364426923,,,,,
452,0.815384615,-1.437865385,,,,,
453,0.823076923,-1.309157692,,,,,
454,0.8,-1.363861538,,,,,
455,0.892307692,-1.274803846,,,,,
456,0.830769231,-1.213934615,,,,,
457,0.815384615,-1.238442308,,,,,
458,0.769230769,-1.314076923,,,,,
459,0.807692308,-1.295996154,,,,,
460,0.8,-1.286053846,,,,,
461,0.753846154,-1.500792308,,,,,
462,0.761538462,-1.456219231,,,,,
463,0.8,-1.349503846,,,,,
464,0.846153846,-1.332923077,,,,,
465,0.761538462,-1.516257692,,,,,
466,0.8,-1.402069231,,,,,
467,0.792307692,-1.307992308,,,,,
468,0.815384615,-1.472942308,,,,,
469,0.761538462,-1.582465385,,,,,
470,0.838461538,-1.283711538,,,,,
471,0.746153846,-1.840023077,,,,,
472,0.792307692,-1.416846154,,,,,
473,0.769230769,-1.444061538,,,,,
474,0.8,-1.352276923,,,,,
475,0.823076923,-1.202780769,,,,,
476,0.792307692,-1.233807692,,,,,
477,0.8,-1.522153846,,,,,
478,0.823076923,-1.394830769,,,,,
479,0.853846154,-1.245357692,,,,,
480,0.815384615,-1.307234615,,,,,
481,0.830769231,-1.396984615,,,,,
482,0.753846154,-1.505792308,,,,,
483,0.776923077,-1.682003846,,,,,
484,0.784615385,-1.489876923,,,,,
485,0.838461538,-1.324907692,,,,,
486,0.776923077,-1.558626923,,,,,
487,0.807692308,-1.365484615,,,,,
488,0.838461538,-1.323465385,,,,,
489,0.792307692,-1.373692308,,,,,
490,0.792307692,-1.389169231,,,,,
491,0.815384615,-1.428426923,,,,,
492,0.815384615,-1.434576923,,,,,
493,0.776923077,-1.504376923,,,,,
494,0.784615385,-1.387161538,,,,,
495,0.838461538,-1.372573077,,,,,
496,0.761538462,-1.405976923,,,,,
497,0.761538462,-1.451042308,,,,,
498,0.8,-1.442215385,,,,,
499,0.769230769,-1.356373077,,,,,
500,0.807692308,-1.337607692,,,,,
501,0.876923077,-1.157257692,,,,,
502,0.753846154,-1.571088462,,,,,
503,0.746153846,-1.365961538,,,,,
504,0.784615385,-1.368642308,,,,,
505,0.8,-1.2807,,,,,
506,0.8,-1.361411538,,,,,
507,0.807692308,-1.313161538,,,,,
508,0.830769231,-1.227126923,,,,,
509,0.792307692,-1.347019231,,,,,
510,0.823076923,-1.401188462,,,,,
511,0.838461538,-1.231153846,,,,,
512,0.853846154,-1.157965385,,,,,
513,0.746153846,-1.579984615,,,,,
514,0.746153846,-1.679580769,,,,,
515,0.723076923,-1.636392308,,,,,
516,0.823076923,-1.277507692,,,,,
